station,ap1,rssi1,ocu1,con1,dis1,pow1,ap2,rssi2,ocu2,con2,dis2,pow2,ap3,rssi3,ocu3,con3,dis3,pow3,ap4,rssi4,ocu4,con4,dis4,pow4,associatedTo
sta10,1,-75.0,46.6666666667,0.0403,40.26,880,1,-73.0,66.6666666667,0.0400,40.01,880,1,-76.0,60.0,0.0422,42.2,880,1,-75.0,45.0,0.0500,50.01,880,1
sta11,1,-74.0,60.0,0.0394,39.38,880,1,-72.0,66.6666666667,0.0373,37.32,880,1,-76.0,60.0,0.0419,41.94,880,1,-76.0,35.0,0.0527,52.72,880,4
sta12,1,-74.0,60.0,0.0390,39.0,960,1,-69.0,55.5555555556,0.0300,30.02,960,1,-76.0,60.0,0.0410,41.0,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-73.0,60.0,0.0361,36.08,880,1,-68.0,55.5555555556,0.0279,27.89,880,1,-77.0,60.0,0.0441,44.07,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-51.0,46.6666666667,0.0065,6.54,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-47.0,46.6666666667,0.0047,4.71,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0102,10.19,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-60.0,46.6666666667,0.0122,12.24,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-51.0,35.0,0.0079,7.86,100,4
sta20,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-71.0,35.0,0.0353,35.34,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-48.0,55.5555555556,0.0060,6.0,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-40.0,55.5555555556,0.0033,3.31,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-69.0,66.6666666667,0.0302,30.22,100,1,-72.0,46.6666666667,0.0311,31.09,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-53.0,55.5555555556,0.0090,9.02,960,1,-76.0,60.0,0.0422,42.19,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-69.0,46.6666666667,0.0235,23.52,880,1,-76.0,45.0,0.0534,53.38,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-74.0,66.6666666667,0.0450,45.01,960,1,-65.0,46.6666666667,0.0180,18.0,960,0,-100.0,100.0,1.0,100,1000,3
sta5,1,-72.0,60.0,0.0340,34.01,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,35.0,0.0473,47.33,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-57.0,35.0,0.0124,12.44,100,4
sta7,1,-71.0,46.6666666667,0.0297,29.73,960,1,-70.0,66.6666666667,0.0323,32.31,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0103,10.34,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-75.0,60.0,0.0430,42.95,100,1,-71.0,66.6666666667,0.0356,35.6,100,1,-75.0,60.0,0.0378,37.8,100,1,-77.0,35.0,0.0546,54.56,100,4
sta10,1,-74.0,46.6666666667,0.0385,38.52,880,1,-72.0,66.6666666667,0.0389,38.88,880,1,-77.0,60.0,0.0434,43.4,880,1,-76.0,45.0,0.0513,51.26,880,1
sta11,1,-74.0,60.0,0.0377,37.7,880,1,-71.0,66.6666666667,0.0362,36.21,880,1,-77.0,60.0,0.0432,43.23,880,1,-76.0,35.0,0.0540,53.97,880,4
sta12,1,-74.0,60.0,0.0375,37.52,960,1,-68.0,55.5555555556,0.0289,28.91,960,1,-76.0,60.0,0.0425,42.52,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-74.0,60.0,0.0375,37.52,880,1,-68.0,55.5555555556,0.0289,28.91,880,1,-76.0,60.0,0.0425,42.52,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-50.0,46.6666666667,0.0059,5.89,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-50.0,46.6666666667,0.0060,6.02,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0101,10.1,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-61.0,46.6666666667,0.0132,13.23,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-54.0,35.0,0.0097,9.65,100,4
sta20,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-71.0,35.0,0.0365,36.5,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-45.0,55.5555555556,0.0047,4.66,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-46.0,55.5555555556,0.0050,5.03,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-69.0,66.6666666667,0.0299,29.85,100,1,-72.0,46.6666666667,0.0312,31.15,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-52.0,55.5555555556,0.0084,8.43,960,1,-76.0,60.0,0.0426,42.56,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-68.0,46.6666666667,0.0230,23.02,880,1,-76.0,45.0,0.0537,53.69,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-74.0,66.6666666667,0.0445,44.45,960,1,-65.0,46.6666666667,0.0178,17.78,960,0,-100.0,100.0,1.0,100,1000,3
sta5,1,-72.0,60.0,0.0337,33.69,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,35.0,0.0471,47.12,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,35.0,0.0132,13.24,100,4
sta7,1,-71.0,46.6666666667,0.0300,29.97,960,1,-70.0,66.6666666667,0.0324,32.43,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0105,10.49,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-76.0,60.0,0.0440,43.98,100,1,-71.0,66.6666666667,0.0342,34.21,100,1,-74.0,60.0,0.0364,36.42,100,1,-77.0,35.0,0.0561,56.13,100,4
sta10,1,-74.0,46.6666666667,0.0394,39.38,880,1,-72.0,66.6666666667,0.0373,37.32,880,1,-76.0,60.0,0.0419,41.94,880,1,-76.0,45.0,0.0527,52.72,880,1
sta11,1,-73.0,60.0,0.0368,36.79,880,1,-72.0,66.6666666667,0.0378,37.81,880,1,-77.0,60.0,0.0447,44.65,880,1,-76.0,35.0,0.0525,52.55,880,4
sta12,1,-73.0,60.0,0.0361,36.08,960,1,-68.0,55.5555555556,0.0279,27.89,960,1,-77.0,60.0,0.0441,44.07,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-74.0,60.0,0.0388,38.79,880,1,-68.0,55.5555555556,0.0273,27.33,880,1,-76.0,60.0,0.0414,41.39,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-53.0,46.6666666667,0.0078,7.78,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-47.0,46.6666666667,0.0050,5.01,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0102,10.19,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-60.0,46.6666666667,0.0117,11.7,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-55.0,35.0,0.0104,10.44,100,4
sta20,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-77.0,60.0,0.0444,44.43,880,1,-72.0,35.0,0.0380,38.03,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-49.0,55.5555555556,0.0063,6.31,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-48.0,55.5555555556,0.0060,6.0,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-69.0,66.6666666667,0.0295,29.47,100,1,-72.0,46.6666666667,0.0312,31.24,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-51.0,55.5555555556,0.0078,7.85,960,1,-76.0,60.0,0.0430,42.96,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-68.0,46.6666666667,0.0225,22.52,880,1,-76.0,45.0,0.0540,54.0,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-74.0,66.6666666667,0.0439,43.88,960,1,-65.0,46.6666666667,0.0176,17.59,960,0,-100.0,100.0,1.0,100,1000,3
sta5,1,-72.0,60.0,0.0334,33.38,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,35.0,0.0469,46.91,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-59.0,35.0,0.0140,14.04,100,4
sta7,1,-71.0,46.6666666667,0.0302,30.22,960,1,-70.0,66.6666666667,0.0326,32.56,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0107,10.66,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-75.0,60.0,0.0430,42.95,100,1,-71.0,66.6666666667,0.0356,35.6,100,1,-75.0,60.0,0.0378,37.8,100,1,-77.0,35.0,0.0546,54.56,100,4
sta10,1,-75.0,46.6666666667,0.0403,40.32,880,1,-71.0,66.6666666667,0.0358,35.8,880,1,-76.0,60.0,0.0405,40.52,880,1,-77.0,45.0,0.0542,54.2,880,1
sta11,1,-73.0,60.0,0.0351,35.09,880,1,-71.0,66.6666666667,0.0368,36.81,880,0,-100.0,100.0,1.0,100,1000,1,-76.0,35.0,0.0539,53.88,880,4
sta12,1,-74.0,60.0,0.0375,37.52,960,1,-68.0,55.5555555556,0.0289,28.91,960,1,-76.0,60.0,0.0425,42.52,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-75.0,60.0,0.0401,40.12,880,1,-67.0,55.5555555556,0.0258,25.8,880,1,-76.0,60.0,0.0403,40.32,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-54.0,46.6666666667,0.0083,8.29,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-42.0,46.6666666667,0.0033,3.32,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-60.0,46.6666666667,0.0121,12.09,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-61.0,46.6666666667,0.0130,13.02,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-56.0,35.0,0.0115,11.5,100,4
sta20,1,-76.0,60.0,0.0450,45.0,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-72.0,35.0,0.0392,39.2,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-45.0,55.5555555556,0.0047,4.66,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-45.0,55.5555555556,0.0047,4.66,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-68.0,66.6666666667,0.0291,29.09,100,1,-72.0,46.6666666667,0.0313,31.34,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-50.0,55.5555555556,0.0073,7.27,960,1,-77.0,60.0,0.0434,43.37,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-68.0,46.6666666667,0.0220,22.03,880,1,-77.0,45.0,0.0543,54.29,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-74.0,66.6666666667,0.0433,43.31,960,1,-65.0,46.6666666667,0.0174,17.44,960,0,-100.0,100.0,1.0,100,1000,3
sta5,1,-72.0,60.0,0.0331,33.07,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,35.0,0.0467,46.71,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-60.0,35.0,0.0148,14.83,100,4
sta7,1,-71.0,46.6666666667,0.0305,30.47,960,1,-70.0,66.6666666667,0.0327,32.69,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-59.0,46.6666666667,0.0109,10.86,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-75.0,60.0,0.0413,41.32,100,1,-71.0,66.6666666667,0.0343,34.32,100,1,-75.0,60.0,0.0391,39.14,100,1,-77.0,35.0,0.0557,55.71,100,4
sta10,1,-74.0,46.6666666667,0.0387,38.67,880,1,-71.0,66.6666666667,0.0346,34.64,880,1,-76.0,60.0,0.0419,41.85,880,1,-77.0,45.0,0.0554,55.42,880,1
sta11,1,-73.0,60.0,0.0360,36.03,880,1,-71.0,66.6666666667,0.0352,35.16,880,1,-77.0,60.0,0.0446,44.57,880,1,-77.0,35.0,0.0553,55.27,880,4
sta12,1,-73.0,60.0,0.0363,36.3,960,1,-69.0,55.5555555556,0.0305,30.53,960,1,-77.0,60.0,0.0437,43.7,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-74.0,60.0,0.0388,38.79,880,1,-68.0,55.5555555556,0.0273,27.33,880,1,-76.0,60.0,0.0414,41.39,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-57.0,46.6666666667,0.0101,10.1,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-47.0,46.6666666667,0.0047,4.71,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0102,10.19,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-60.0,46.6666666667,0.0117,11.7,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-55.0,35.0,0.0101,10.05,100,4
sta20,1,-76.0,60.0,0.0431,43.11,880,1,-75.0,66.6666666667,0.0496,49.63,880,0,-100.0,100.0,1.0,100,1000,1,-73.0,35.0,0.0404,40.43,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-48.0,55.5555555556,0.0060,6.0,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-42.0,55.5555555556,0.0038,3.84,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-68.0,66.6666666667,0.0287,28.72,100,1,-72.0,46.6666666667,0.0315,31.46,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-49.0,55.5555555556,0.0067,6.69,960,1,-77.0,60.0,0.0438,43.8,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-67.0,46.6666666667,0.0215,21.54,880,1,-77.0,45.0,0.0546,54.58,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-73.0,66.6666666667,0.0427,42.74,960,1,-65.0,46.6666666667,0.0173,17.32,960,0,-100.0,100.0,1.0,100,1000,3
sta5,1,-72.0,60.0,0.0328,32.77,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,35.0,0.0465,46.51,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-60.0,35.0,0.0156,15.63,100,4
sta7,1,-71.0,46.6666666667,0.0307,30.72,960,1,-70.0,66.6666666667,0.0328,32.82,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-59.0,46.6666666667,0.0111,11.08,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-74.0,60.0,0.0397,39.72,100,1,-70.0,66.6666666667,0.0331,33.1,100,1,-76.0,60.0,0.0405,40.52,100,1,-77.0,35.0,0.0569,56.9,100,4
sta10,1,-75.0,46.6666666667,0.0403,40.32,880,1,-71.0,66.6666666667,0.0358,35.8,880,1,-76.0,60.0,0.0405,40.52,880,1,-77.0,45.0,0.0542,54.2,880,1
sta11,1,-73.0,60.0,0.0344,34.4,880,1,-71.0,66.6666666667,0.0342,34.2,880,0,-100.0,100.0,1.0,100,1000,1,-77.0,35.0,0.0566,56.6,880,4
sta12,1,-73.0,60.0,0.0352,35.15,960,1,-70.0,55.5555555556,0.0322,32.18,960,1,-77.0,60.0,0.0449,44.94,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-74.0,60.0,0.0375,37.52,880,1,-68.0,55.5555555556,0.0289,28.91,880,1,-76.0,60.0,0.0425,42.52,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-58.0,46.6666666667,0.0108,10.83,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-50.0,46.6666666667,0.0060,6.02,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-55.0,46.6666666667,0.0083,8.29,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0106,10.57,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-53.0,35.0,0.0088,8.78,100,4
sta20,1,-75.0,60.0,0.0412,41.23,880,1,-75.0,66.6666666667,0.0485,48.5,880,0,-100.0,100.0,1.0,100,1000,1,-73.0,35.0,0.0417,41.72,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-50.0,55.5555555556,0.0073,7.35,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-47.0,55.5555555556,0.0057,5.73,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-68.0,66.6666666667,0.0283,28.34,100,1,-72.0,46.6666666667,0.0316,31.6,100,0,-100.0,100.0,1.0,100,1000,3
